482379	3	5	5	13	5.5	19
553568	6	5.25	8.25	19.5	N.D.	N.D.
501311	3	4	3	10	3	Insuf.
559425	5	6	9	20	10.5	31
538448	3	5.5	6	14.5	6.25	21
500936	2	0	2.5	4.5	8	Insuf.
546672	4.5	6	4.5	15	7	22
521884	0	0	0.1	0.1	5	Insuf.
558851	6	6	9	21	10	31
558666	N.D.	N.D.	N.D.	N.D.	8.25	N.D.
562756	5.5	5.5	9	20	9.5	30
564697	0	0	20.75	20.75	11	31
550017	4.5	6	8	18.5	7.5	26
510757	5.75	6	8.75	20.5	9	30
560456	6	5.75	6.75	18.5	9	28
558511	3	5	8.5	16.5	8	25
546553	5.5	6	8.5	20	9	29
560298	6	4	7.5	17.5	6.5	24
560731	5.25	5.75	8.5	19.5	7	27
559888	4	5.75	6	15.75	N.D.	N.D.
562160	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
565910	N.D.	N.D.	N.D.	N.D.	N.D.	N.D.
534274	6	5.25	7	18.25	7	25
561105	6	3	7.5	16.5	10.5	27
547193	N.D.	N.D.	N.D.	N.D.	8.5	N.D.
534909	5.5	4.5	9.25	19.25	7	26
559909	6	5	8.75	19.75	N.D.	N.D.
549040	N.D.	N.D.	N.D.	N.D.	5	N.D.
565688	4	3	8.75	15.75	N.D.	N.D.
566188	6.25	6.25	7.75	20.25	6.75	27
546969	6	6	8.75	20.75	8	29
533945	0	0	15	15	5	Insuf.
560176	6	6	8.75	20.75	10	31
535665	5.75	6	8.25	20	9.25	29
561751	4.5	4	5	13.5	N.D.	N.D.
561468	6	6	8.5	20.5	6.6	27
562316	6	6	7.5	19.5	2	Insuf.
564596	5	5	8.5	18.5	N.D.	N.D.
559549	6	6	8.5	20.5	6	27
565538	N.D.	N.D.	N.D.	N.D.	6.5	N.D.
533710	4	6.25	5.5	15.75	4.5	Insuf.
546668	5	3	7	15	7.5	23
546444	4	3	4.5	11.5	N.D.	N.D.
562335	6	6	9	21	10	31
540477	5.5	5.75	8.5	19.75	5	Insuf.
562984	5.5	6	8.75	20.25	N.D.	N.D.
546452	N.D.	N.D.	N.D.	N.D.	3	N.D.
479197	0	0	14	14	7.5	22
549121	6.25	3	4.5	13.75	N.D.	N.D.
548400	4	5	7	16	9	25
533954	0	0	12	12	4	Insuf.
512377	5.5	5.75	8.5	19.75	N.D.	N.D.
563758	4.5	5	8.5	18	N.D.	N.D.
546950	6	5.75	6	17.75	5	Insuf.
596483	0	0	18.75	18.75	6.5	25
560124	6	6	9	21	7	28
560654	5.75	5.75	9	20.5	6	27
474951	0	0	15	15	4.5	Insuf.
536969	5.5	6	7.75	19.25	N.D.	N.D.
525018	5.5	6	8.75	20.25	7.75	28
524783	5.5	5	4.5	15	N.D.	N.D.
540551	5.75	5.75	9	20.5	N.D.	N.D.
513287	6	5.75	8.75	20.5	6.25	27
519727	5.75	5.75	4.5	16	4.5	Insuf.
546622	0	0	14	14	5.75	20
540730	0	0	14.5	14.5	6	21
